Date,Adj Close
2023-01-03,375.11871337890625
2023-01-04,378.01470947265625
2023-01-05,373.70025634765625
2023-01-06,382.2699890136719
2023-01-09,382.05328369140625
2023-01-10,384.7325744628906
2023-01-11,389.5986022949219
2023-01-12,391.0170593261719
2023-01-13,392.5340270996094
2023-01-17,391.8149108886719
2023-01-18,385.62896728515625
2023-01-19,382.8216552734375
2023-01-20,389.9532470703125
2023-01-23,394.6321105957031
2023-01-24,394.2085876464844
2023-01-25,394.3563232421875
2023-01-26,398.6904602050781
2023-01-27,399.60650634765625
2023-01-30,394.59271240234375
2023-01-31,400.3945617675781
2023-02-01,404.64984130859375
2023-02-02,410.54034423828125
2023-02-03,406.1766662597656
2023-02-06,403.6943664550781
2023-02-07,408.97418212890625
2023-02-08,404.5021057128906
2023-02-09,400.9953918457031
2023-02-10,401.93121337890625
2023-02-13,406.64947509765625
2023-02-14,406.46234130859375
2023-02-15,407.78228759765625
2023-02-16,402.1675720214844
2023-02-17,401.1628723144531
2023-02-21,393.11517333984375
2023-02-22,392.5733947753906
2023-02-23,394.66168212890625
2023-02-24,390.44573974609375
2023-02-27,391.7755432128906
2023-02-28,390.3275451660156
2023-03-01,388.8302917480469
2023-03-02,391.8543395996094
2023-03-03,398.13885498046875
2023-03-06,398.4146728515625
2023-03-07,392.30743408203125
2023-03-08,392.9477233886719
2023-03-09,385.6979064941406
2023-03-10,380.13250732421875
2023-03-13,379.5906982421875
2023-03-14,385.8653564453125
2023-03-15,383.4520263671875
2023-03-16,390.1797790527344
2023-03-17,385.6175231933594
2023-03-20,389.3254699707031
2023-03-21,394.4375305175781
2023-03-22,387.7137451171875
2023-03-23,388.7618713378906
2023-03-24,391.31292724609375
2023-03-27,392.0446472167969
2023-03-28,391.1646423339844
2023-03-29,396.85015869140625
2023-03-30,399.1738586425781
2023-03-31,404.800048828125
2023-04-03,406.3425598144531
2023-04-04,404.08807373046875
2023-04-05,403.03009033203125
2023-04-06,404.602294921875
2023-04-10,405.0175476074219
2023-04-11,405.1263427734375
2023-04-12,403.47503662109375
2023-04-13,408.83428955078125
2023-04-14,407.8356018066406
2023-04-17,409.29901123046875
2023-04-18,409.56597900390625
2023-04-19,409.4967956542969
2023-04-20,407.2621154785156
2023-04-21,407.5785217285156
2023-04-24,408.0036926269531
2023-04-25,401.527099609375
2023-04-26,399.826416015625
2023-04-27,407.7861633300781
2023-04-28,411.2667236328125
2023-05-01,410.8514099121094
2023-05-02,406.2337341308594
2023-05-03,403.44537353515625
2023-05-04,400.5877685546875
2023-05-05,408.0036926269531
2023-05-08,408.11248779296875
2023-05-09,406.3227233886719
2023-05-10,408.2212219238281
2023-05-11,407.5093078613281
2023-05-12,406.975341796875
2023-05-15,408.37945556640625
2023-05-16,405.6503601074219
2023-05-17,410.5745544433594
2023-05-18,414.5296936035156
2023-05-19,413.9265441894531
2023-05-22,414.0946044921875
2023-05-23,409.44732666015625
2023-05-24,406.48095703125
2023-05-25,410.00103759765625
2023-05-26,415.3108215332031
2023-05-30,415.4690246582031
2023-05-31,413.1651916503906
2023-06-01,417.0906677246094
2023-06-02,423.1222839355469
2023-06-05,422.31146240234375
2023-06-06,423.2310485839844
2023-06-07,421.7676086425781
2023-06-08,424.3186950683594
2023-06-09,425.0800476074219
2023-06-12,428.93634033203125
2023-06-13,431.7643127441406
2023-06-14,432.2784423828125
2023-06-15,437.6376953125
2023-06-16,436.14697265625
2023-06-20,433.8841857910156
2023-06-21,431.66107177734375
2023-06-22,433.2192687988281
2023-06-23,429.944091796875
2023-06-26,428.1874694824219
2023-06-27,432.8818359375
2023-06-28,433.1001892089844
2023-06-29,434.8071594238281
2023-06-30,439.9382019042969
2023-07-03,440.4443664550781
2023-07-05,439.7893371582031
2023-07-06,436.3454895019531
2023-07-07,435.2438659667969
2023-07-10,436.3454895019531
2023-07-11,439.1243591308594
2023-07-12,442.65753173828125
2023-07-13,446.1708679199219
2023-07-14,445.8929748535156
2023-07-17,447.44122314453125
2023-07-18,450.7659606933594
2023-07-19,451.76837158203125
2023-07-20,448.7710876464844
2023-07-21,448.7710876464844
2023-07-24,450.7759094238281
2023-07-25,452.00653076171875
2023-07-26,452.0760192871094
2023-07-27,449.0787658691406
2023-07-28,453.4753723144531
2023-07-31,454.3388366699219
2023-08-01,453.0386962890625
2023-08-02,446.736572265625
2023-08-03,445.4562683105469
2023-08-04,443.44158935546875
2023-08-07,447.31219482421875
2023-08-08,445.3669738769531
2023-08-09,442.38958740234375
2023-08-10,442.5483703613281
2023-08-11,442.2903137207031
2023-08-14,444.7317810058594
2023-08-15,439.5511779785156
2023-08-16,436.32568359375
2023-08-17,433.00091552734375
2023-08-18,433.2093200683594
2023-08-21,436.02789306640625
2023-08-22,434.8468933105469
2023-08-23,439.6900939941406
2023-08-24,433.59637451171875
2023-08-25,436.6531677246094
2023-08-28,439.4221496582031
2023-08-29,445.7738952636719
2023-08-30,447.60992431640625
2023-08-31,446.95489501953125
